employee_id,department,role,week,typing_speed_wpm,meeting_hours_per_day,after_hours_app_usage_hrs,weekend_logins,calendar_density,slack_response_time_min,task_completion_rate,pto_days_used,focus_time_blocks,email_volume_per_day,burnout_score,risk_label
EMP_0001,Operations,Junior,1,62.49,4.37,0.74,0,0.42,15.01,0.864,1,2.99,27.29,18.56,Low
EMP_0001,Operations,Junior,2,54.31,1.83,0.63,1,0.361,7.04,0.882,0,3.13,52.62,22.66,Low
EMP_0001,Operations,Junior,3,53.81,3.39,0.52,1,0.407,13.09,0.766,0,3.21,33.99,17.85,Low
EMP_0001,Operations,Junior,4,63.75,2.28,1.1,6,0.367,7.14,0.838,0,2.89,36.16,19.95,Low
EMP_0001,Operations,Junior,5,62.4,3.81,1.27,0,0.513,9.07,0.802,2,3.22,27.74,29.99,Low
EMP_0001,Operations,Junior,6,52.58,3.53,1.69,0,0.596,20.88,0.856,1,3.18,32.68,27.93,Low
EMP_0001,Operations,Junior,7,60.24,2.8,0.82,1,0.231,20.18,0.796,0,3.24,26.97,24.24,Low
EMP_0001,Operations,Junior,8,60.35,3.67,1.82,4,0.535,18.83,0.807,1,2.55,19.65,34.59,Low
EMP_0001,Operations,Junior,9,57.36,2.54,0.81,2,0.488,13.79,0.727,0,3.29,51.55,27.51,Low
EMP_0001,Operations,Junior,10,61.26,3.32,0.78,0,0.546,16.63,0.861,1,2.89,35.19,33.64,Low
EMP_0001,Operations,Junior,11,57.88,3.67,1.55,0,0.504,4.22,0.834,1,2.96,41.7,21.4,Low
EMP_0001,Operations,Junior,12,49.67,4.46,2.34,4,0.669,29.48,0.632,2,1.63,52.38,52.19,Medium
EMP_0002,Engineering,Senior,1,63.29,3.25,0.51,1,0.249,12.93,0.81,0,4.22,19.12,23.85,Low
EMP_0002,Engineering,Senior,2,63.76,1.97,0.57,0,0.294,5.87,0.847,3,3.76,24.48,28.96,Low
EMP_0002,Engineering,Senior,3,57.35,3.35,0.45,0,0.357,8.13,0.893,0,3.58,31.59,15.75,Low
EMP_0002,Engineering,Senior,4,65.49,2.32,0.94,0,0.456,10.56,0.881,0,4.46,27.26,13.0,Low
EMP_0002,Engineering,Senior,5,63.81,3.96,0.35,0,0.577,15.9,0.842,3,3.59,40.19,27.38,Low
EMP_0002,Engineering,Senior,6,61.97,2.34,0.19,0,0.409,14.85,0.921,0,2.28,29.27,16.36,Low
